iter	Passed	Remaining
865	1326	205
866	1327	203
867	1329	202
868	1330	200
869	1332	199
870	1333	197
871	1334	195
872	1336	194
873	1337	192
874	1338	191
875	1339	189
876	1340	188
877	1341	186
878	1342	184
879	1344	183
880	1345	181
881	1346	180
882	1347	178
883	1348	176
884	1350	175
885	1351	173
886	1352	172
887	1353	170
888	1354	169
889	1355	167
890	1356	165
891	1357	164
892	1359	162
893	1360	161
894	1361	159
895	1363	158
896	1364	156
897	1366	155
898	1367	153
899	1368	152
900	1369	150
901	1371	148
902	1372	147
903	1373	145
904	1374	144
905	1375	142
906	1376	141
907	1377	139
908	1378	137
909	1379	136
910	1379	134
911	1380	133
912	1381	131
913	1382	130
914	1383	128
915	1384	126
916	1385	125
917	1386	123
918	1388	122
919	1389	120
920	1390	119
921	1391	117
922	1392	116
923	1393	114
924	1394	113
925	1395	111
926	1396	110
927	1397	108
928	1398	106
929	1400	105
930	1401	103
931	1402	102
932	1403	100
933	1404	99
934	1406	97
935	1407	96
936	1408	94
937	1409	93
938	1410	91
939	1411	90
940	1414	88
941	1416	87
942	1417	85
943	1418	84
944	1419	82
945	1420	81
946	1421	79
947	1422	78
948	1424	76
949	1426	75
950	1428	73
951	1430	72
952	1432	70
953	1433	69
954	1434	67
955	1435	66
956	1437	64
957	1438	63
958	1439	61
959	1441	60
960	1442	58
961	1443	57
962	1444	55
963	1445	53
964	1446	52
965	1447	50
966	1448	49
967	1449	47
968	1450	46
969	1452	44
970	1454	43
971	1455	41
972	1456	40
973	1457	38
974	1459	37
975	1460	35
976	1461	34
977	1462	32
978	1463	31
979	1465	29
980	1467	28
981	1468	26
982	1469	25
983	1471	23
984	1472	22
985	1473	20
986	1474	19
987	1475	17
988	1477	16
989	1478	14
990	1479	13
991	1480	11
992	1481	10
993	1483	8
994	1484	7
995	1485	5
996	1485	4
997	1486	2
998	1488	1
999	1489	0
